"parent_id,""child_id"""
"ch_ost_ticket,ch_tickets_for_232"
"ch_ost_ticket,ch_voronka_ticket_buyer"
"ch_ost_ticket_1,ch_ost_document_ticket_1"
"ch_ost_ticket_actions_history,ch_mortgage_actions"
"ch_ost_ticket_actions_history,ch_ticket_care_all"
"ch_ost_ticket_actions_history,ch_voronka_ticket_buyer"
"ch_ost_ticket_comment,ch_object_care_all"
"ch_ost_ticket_comment,ch_ticket_care_all"
"ch_ost_ticket_comment,ch_ticket_potrebnosti"
"ch_ost_ticket_comment,ch_tickets_for_232"
"ch_ost_ticket_comment,ch_voronka_ticket_buyer"
"ch_ost_ticket_contract,ch_pokaz_ries_mobile"
"ch_ost_ticket_contract,ch_ticket_care_all"
"ch_ost_ticket_contract,ch_ticket_potrebnosti"
"ch_ost_ticket_contract,ch_tickets_for_232"
"ch_ost_ticket_contract,ch_voronka_ticket_buyer"
"ch_ost_ticket_note,ch_ticket_care_all"
"ch_ost_ticket_note,ch_tickets_for_232"
"ch_ost_ticket_types_1,ch_ost_document_ticket_1"
"ch_other_agency_private,ch_deals_new"
"ch_payments,ch_deals_new"
"ch_payments,ch_payments_deals_all"
"ch_payments_old,ch_payments_deals_all"
"ch_photos_object,ch_objects_all_fields"
"ch_pokaz_ries_mobile,ch_object_care_all"
"ch_pokaz_ries_mobile,ch_ticket_care_all"
"ch_pokaz_ries_mobile,ch_ticket_potrebnosti"
"ch_purchaser_for_ticket,ch_ticket_potrebnosti"
"ch_reason_deposit_status,ch_converse_deposit"
"ch_rieltor_manager_movements_new,ch_deals_new"
"ch_ries_manager_stats_days,ch_deals_new"
"ch_rops_to_managers,ch_hr_users"
"ch_sended_listings,ch_ticket_care_all"
"ch_sended_listings,ch_ticket_potrebnosti"
"ch_sended_listings,ch_voronka_ticket_buyer"
"ch_space_main_tasks,ch_object_care_all"
"ch_specifications,ch_hr_users"
"ch_statistic_call_asterisk_esoft,ch_calls_date"
"ch_ticket_crm_funds,ch_ticket_potrebnosti"
"ch_traffic_lights_calc,ch_deals_new"
"ch_transactions,ch_payments"
"ch_transactions_data,ch_payments"
"ch_uplexr_log_actions,ch_object_care_all"
"ch_uplexr_objects,ch_object_care_all"
"ch_users,ch_calls_date"
"ch_users,ch_curators_1"
"ch_users,ch_deals_new"
"ch_users,ch_hr_users"
"ch_users,ch_managers"
"ch_users,ch_managers_1"
"ch_users,ch_mentors_1"
"ch_users,ch_object_care_all"
"ch_users,ch_ost_document_ticket_1"
